t_sl_Fa," y_sl_Fa"," t_sl_Fp"," y_sl_Fp"," t_sl_Fnu"," y_sl_Fnu"," t_dl_Fa"," y_dl_Fa"," t_dl_Fp"," y_dl_Fp"," t_dl_Fnu"," y_dl_Fnu"
0.11044476940012848," 0.0021237761146430945","0.08133020061449514"," -2.0806609304767116","0.08950220247144602"," -0.04237578670120179","0.08721537283548231"," 0.0033140549468468894","0.08730510058531293"," -0.04639799388305432","0.08721537283548231"," -0.03484244838826367"
0.27542732585205054," -0.05498748125580999","0.24146032893547842"," -2.1314872169403682","0.24946707782202582"," -0.08154430729770112","0.24683997821662973"," -0.04205606939912854","0.24709392881150283"," -0.08097626329698127","0.24683997821662973"," -0.07259518077422822"
0.4361640076894011," -0.12543722307791505","0.37247588847082813"," -2.21598299040472","0.4094319531726054"," -0.15373726682850375","0.4064645835977774"," -0.12516396072446723","0.3778302428147491"," -0.13665061974325","0.4064645835977774"," -0.1386624624496653"
0.5588091286988814," -0.1099946396705096","0.4743768792205447"," -2.315820338815474","0.5548545671276779"," -0.24440513857966017","0.5515778612170024"," -0.12111221545577178","0.4795140425950517"," -0.20201877674487312","0.5588335250979637"," -0.22847621279587482"
0.6272283653451196," -0.013281234097124006","0.5835565121666697"," -2.4204080126748044","0.6784637889894896"," -0.333403654809751","0.6459014916694987"," 0.0009348324344153891","0.5811978423753545"," -0.26738693374649625","0.6894354749552662"," -0.31973400515584594"
0.6951623591782641," 0.12135605027400964","0.6927361451127947"," -2.5154950356369827","0.7875307494557939"," -0.4255031646367087","0.6966911388362274"," 0.13179207061816145","0.6828816421556572"," -0.32703537701047747","0.7910147692887237"," -0.40469338332942595"
0.748539068618592," 0.28166835166475523","0.7800798514696945"," -2.6177800093636137","0.8820554485265908"," -0.5285902490731074","0.7402251221219949"," 0.25461648824013294","0.7700391848244881"," -0.3920766932270925","0.8780827358602588"," -0.4981313959846876"
0.7703749952078169," 0.39288501075458493","0.8455876312373696"," -2.7309504746266433","0.9620378862018808"," -0.6315164170850203","0.76924777764584"," 0.3634482506899811","0.8354073418261112"," -0.46257216504353016","0.9578950385508325"," -0.5959990625732363"
0.8091944202553278," 0.5013963997584457","0.9038167688086363"," -2.844797257411165","1.034749193179417"," -0.7362730094254619","0.798270433169685"," 0.4881383556682358","0.8935123702719985"," -0.5369284436328767","1.0304516773604449"," -0.6956662760721812"
0.8286041327790836," 0.5942773393767088","0.962045906379903"," -2.963152823672301","1.1001893694591995"," -0.8334263007089353","0.8418044164554526"," 0.6339729173510323","0.9516173987178858"," -0.6134296148738385","1.1030083161700577"," -0.8011474103585643"
0.8601449156301864," 0.6991065552080009","1.0275536861475776"," -3.075872410587669","1.1583584150412287"," -0.9221314797068905","0.8853383997412201"," 0.7614615533637118","1.009722427163773"," -0.6827811439427482","1.168309291098709"," -0.9006069838293875"
0.9651653244640781," 0.8210047370579059","1.1148973925044778"," -3.174421535147962","1.2165274606232575"," -1.0097806446691546","0.9869176940746773"," 0.8734027947406985","1.082353712721132"," -0.7459363164625454","1.2263546021463987"," -0.9888539957815787"
0.9926162036048178," 0.8630008345829457","1.209519741057786"," -3.2644898526927175","1.2746965062052866"," -1.1027098798098693","1.081241324527174"," 0.7521331165822962","1.1767743839456986"," -0.8070827799911471","1.2843999131940889"," -1.0791774080149983"
1.0916057374759713," 0.7181185922010596","1.282306163021869"," -3.361052965483549","1.3328655517873154"," -1.194583100914894","1.1078454254240317"," 0.6355276568146017","1.2639319266145297"," -0.8753925040578432","1.342445224241779"," -1.1705390203890316"
1.1221760347008862," 0.5706062261244815","1.3405353005931357"," -3.464754985445688","1.3910345973693445"," -1.2875123360556087","1.1320309716939025"," 0.5142579786561994","1.3293000836161528"," -0.9487478327431025","1.4004905352894688"," -1.2619006327630649"
1.1512906034865193," 0.41956197965788866","1.3987644381644024"," -3.5808561599685165","1.456474773649127"," -1.3884672778675666","1.1610536272177474"," 0.34984428038375004","1.38740511206204"," -1.0195292902464224","1.46579151021812"," -1.3592838059526597"
1.182831386337622," 0.25611857863060516","1.4642722179320775"," -3.695379260274531","1.536457211324417"," -1.4888590121938234","1.1828206188606312"," 0.2134158924555476","1.4455101405079274"," -1.0903107477497422","1.545603812908694"," -1.454659792203734"
1.1949624566649693," 0.13438142476200787","1.5807304930746109"," -3.8038359973574627","1.652795302488475"," -1.5823514548202384","1.1973319466225538"," 0.11313519705533026","1.532667683176758"," -1.1578748662756388","1.6471831072421512"," -1.5442910710100763"
1.1876838144685609," 0.07576723956601672","1.7408606213955937"," -3.8788457588320524","1.8054890471413012"," -1.6663333710403805","1.2118432743844765"," 0.010522392459759056","1.6706671257357402"," -1.2036000778032654","1.7777850570994538"," -1.6308769627372852"
1.226503239516072," -0.05498748125580999","1.8718761809309439"," -3.9840702251629176","1.958182791794127"," -1.7572273791304927","1.2239360475194117"," -0.11385676462578176","1.8086665682947223"," -1.2590423030101823","1.922898334718679"," -1.7243149753925469"
1.2167983832541944," -0.13614558383487485","2.0028917404662936"," -4.07149378010559","2.1108765364469533"," -1.8487357953868235","1.2384473752813343"," -0.22579800600276867","1.9466660108537048"," -1.3302137409956143","2.0752672762188653"," -1.820924217568229"
1.2459129520398275," -0.2375932120587061","2.163021868787277"," -4.096087144523489","2.270841411797533"," -1.921696765125402","1.252958703043257"," -0.33773924737975536","2.1064548390798947"," -1.3569924007673015","2.2348918816000127"," -1.8971847369878772"
